PageViews,SessionDuration,BounceRate,TrafficSource,TimeOnPage,PreviousVisits,ConversionRate
5,0.17,0.23,Organic,2.24,0,0.8
4,1.13,0.28,Organic,1.8,1,1
11,0.49,0.36,Organic,6.83,1,1
3,2.6,0.42,Referral,1.23,5,1
4,3.25,0.26,Organic,5.25,1,1
3,3.83,0.39,Referral,1.65,2,1
3,0.88,0.07,Organic,3.22,1,0.9
8,0.28,0.17,Referral,0.74,4,1
1,0.25,0.19,Organic,4.99,2,1
5,1.67,0.09,Paid,2.89,1,1
7,8.75,0.28,Paid,5.63,1,1
3,0.74,0.33,Referral,4.91,1,1
7,0.89,0.52,Organic,2.33,4,1
5,0.32,0.27,Social,1.71,3,1
7,2.79,0.37,Referral,3.43,0,1
5,3.42,0.36,Organic,2.08,0,1
7,3.09,0.22,Direct,10.72,0,1
5,5.92,0.32,Referral,3.35,1,1
4,2,0.13,Paid,7.5,1,1
5,0.43,0.48,Organic,4.1,3,1
11,1.02,0.53,Paid,2.85,3,1
7,3.26,0.34,Organic,1.62,2,1
6,2.85,0.36,Paid,4.35,4,1
3,2.27,0.12,Paid,1.38,1,1
0,3.45,0.44,Referral,3.7,2,1
10,3.04,0.22,Organic,4.44,0,1
5,6.39,0.38,Social,2.76,1,1
5,2.65,0.23,Organic,5.64,1,1
3,4.52,0.29,Paid,2.16,2,1
4,0.86,0.27,Social,6.2,2,1
2,3.4,0.11,Referral,7.45,3,1
2,6.97,0.57,Organic,4.26,2,1
7,1.46,0.27,Organic,5.56,1,1
3,4.53,0.41,Organic,4.85,2,1
1,3.87,0.32,Paid,4.23,2,1
3,0.18,0.09,Organic,4.23,2,1
7,2.61,0.06,Referral,1.23,2,1
5,0.42,0.04,Paid,6.58,1,1
5,10.26,0.16,Organic,3.17,0,1
4,5,0.2,Organic,3.45,0,1
5,0.35,0.2,Organic,3.04,2,1
5,0.39,0.42,Organic,1.68,3,1
3,2.71,0.21,Paid,2.77,2,1
3,1.27,0.03,Paid,7.76,2,1
6,0.11,0.19,Social,1.83,5,1
6,2.34,0.04,Organic,0.23,2,1
4,1.47,0.41,Direct,0.67,2,0.6
9,0.32,0.68,Organic,2.46,2,1
6,4.86,0.29,Organic,0.57,3,1
5,7.4,0.39,Referral,1.76,2,1
5,4.24,0.18,Social,6.94,2,1
4,5.19,0.25,Organic,9.17,4,1
10,0.73,0.19,Referral,0.79,2,1
6,0.92,0.62,Social,2.98,1,1
2,0.7,0.34,Social,2.61,3,1
4,4.35,0.03,Organic,5.79,1,1
3,8.86,0.22,Social,2.01,2,1
2,3.79,0.25,Social,5.7,1,1
5,6.4,0.34,Referral,9.25,2,1
6,3.05,0.27,Social,13.69,1,1
5,1.47,0.24,Direct,0.47,3,1
10,1.66,0.33,Paid,3.91,2,1
5,0.23,0.35,Organic,3.51,2,0.9
5,0.1,0.34,Paid,6.93,2,1
4,3.57,0.34,Organic,7.86,1,1
4,1.73,0.1,Organic,3.32,3,1
3,2.41,0.41,Paid,9.93,2,1
6,2.45,0.25,Organic,2.97,2,1
4,0.97,0.36,Referral,1.57,2,1
2,1.94,0.27,Social,5.74,0,1
9,1.91,0.33,Paid,1.16,2,1
5,1.48,0.39,Direct,5.52,3,1
9,5.16,0.09,Organic,5.7,2,1
5,1.8,0.19,Social,6.92,4,1
5,2.78,0.16,Social,2.97,2,1
1,6.78,0.05,Organic,6.48,2,1
5,6.03,0.32,Organic,0.38,4,1
8,6.63,0.08,Organic,4.72,1,1
6,0.94,0.58,Social,3.82,2,1
2,0.11,0.62,Social,7.58,1,1
5,0.91,0.11,Organic,13.61,2,1
5,0.98,0.3,Paid,10.78,3,1
4,7.2,0.34,Organic,0.82,2,1
6,3.14,0.33,Paid,3.53,2,1
5,0.26,0.33,Direct,2.12,2,1
6,0.44,0.6,Organic,1.43,2,0.8
5,0.51,0.34,Direct,4.63,2,1
4,2.99,0.17,Social,1.84,0,1
7,3.99,0.33,Direct,4.04,4,1
5,5.89,0.26,Organic,2.68,0,1
7,8.47,0.11,Organic,4.71,2,1
6,0.68,0.11,Organic,2.08,1,1
4,1.11,0.25,Referral,6.74,0,1
8,0.82,0.41,Referral,2.85,1,1
4,1.33,0.26,Organic,1.81,3,1
3,7.38,0.53,Social,3.25,1,1
5,2.57,0.45,Organic,5.11,1,1
10,4.02,0.3,Organic,2.03,4,1
6,2.02,0.46,Paid,3.42,1,1
4,0.09,0.34,Organic,3.09,3,1
3,0.2,0.39,Organic,1.41,3,1
3,2.32,0.02,Organic,6.54,3,1
5,3.81,0.13,Social,7.75,3,1
2,0.73,0.34,Social,5.1,1,1
6,3.84,0.17,Paid,8.8,1,1
2,4.99,0.28,Referral,2.49,0,1
5,1.59,0.35,Paid,2.66,1,1
2,4.12,0.43,Organic,5,1,1
6,1.55,0.02,Referral,1.84,1,1
3,3.4,0.47,Referral,0.6,4,1
5,4.33,0.3,Referral,7.52,0,1
2,14.46,0.14,Referral,1.99,2,1
6,1.27,0.26,Referral,7.35,6,1
6,1.59,0.41,Organic,5.57,3,1
7,0.54,0.12,Social,4.97,0,1
6,0.68,0.45,Organic,6.24,2,1
6,3.55,0.52,Social,2.39,2,1
4,7.47,0.25,Organic,7.39,2,1
4,1.51,0.13,Organic,9.97,3,1
7,0.59,0.18,Referral,7.3,0,1
5,1.01,0.33,Organic,1.46,5,1
5,1.82,0.28,Social,4.26,5,1
8,1.03,0.35,Paid,1.13,0,0.7
4,0.8,0.34,Referral,5.64,2,1
2,4,0.31,Organic,2.71,1,1
3,0.02,0.38,Organic,0.6,5,0.7
4,2.32,0.18,Organic,2.48,5,1
6,4.74,0.6,Referral,3.6,3,1
9,0.93,0.26,Referral,1.94,4,1
3,2.77,0.5,Paid,7.46,1,1
5,3.32,0.37,Direct,2.16,0,1
3,3.19,0.19,Referral,1.87,3,1
2,1.77,0.32,Direct,0.53,4,1
4,1.28,0.3,Organic,6.37,1,1
9,5.42,0.26,Organic,3.89,2,1
4,4.26,0.57,Organic,6.93,3,1
5,1.16,0.19,Organic,4.05,0,1
8,0.33,0.42,Paid,8.67,1,1
8,0.22,0.41,Paid,5.41,1,1
5,0.3,0.27,Paid,4.97,1,1
3,2.62,0.08,Referral,3.53,3,1
9,0.16,0.38,Direct,0.45,4,1
2,1.23,0.22,Social,2.06,2,1
8,4.2,0.1,Organic,1.7,1,1
7,1.05,0.33,Organic,3.47,4,1
6,4.32,0.1,Organic,2.44,5,1
9,4.1,0.33,Organic,6.78,2,1
3,0.85,0.41,Paid,6.24,1,1
6,3.91,0.21,Paid,2.87,2,1
7,4.13,0.52,Organic,3.89,1,1
7,1.52,0.23,Referral,1.96,1,1
5,0.71,0.64,Referral,5.44,0,1
5,2.21,0.18,Organic,5.02,2,1
1,7.63,0.47,Organic,10.44,2,1
7,3.06,0.34,Social,3.35,1,1
4,0.57,0.17,Paid,8.31,2,1
7,3.44,0.26,Organic,1.28,2,1
5,1.67,0.03,Organic,3.84,4,1
5,2.69,0.2,Organic,2.81,2,1
3,3.97,0.28,Organic,4.08,6,1
5,2.17,0.19,Social,4.54,2,1
5,5.05,0.09,Organic,0.93,0,0.9
4,3.84,0.3,Organic,6.79,1,1
3,2.86,0.19,Organic,6.79,3,1
3,0.49,0.3,Social,3.09,0,1
5,5.42,0.29,Organic,3.22,0,1
10,8.24,0.63,Organic,4.53,2,1
2,0.44,0.71,Paid,6.58,1,1
5,2.01,0.47,Paid,4.45,2,1
3,0.9,0.48,Organic,6.17,3,1
4,4.21,0.43,Organic,1.76,2,1
6,3.84,0.48,Social,8.52,0,1
3,0.46,0.62,Direct,2.43,2,1
4,6.29,0.09,Organic,5.06,2,1
4,0.6,0.26,Organic,3.55,1,1
5,4.79,0.33,Organic,3.92,0,1
8,1.83,0.63,Social,3.67,1,1
5,1.19,0.27,Paid,3,1,1
6,0.52,0.08,Social,8.97,0,1
3,0.55,0.4,Referral,1.56,1,1
4,3.25,0.03,Direct,2.77,4,1
5,2.4,0.09,Social,6.91,4,1
6,0.39,0.52,Social,6.87,2,1
7,0.36,0.21,Paid,4.21,5,1
5,0.23,0.19,Organic,1.8,1,1
2,4.09,0.39,Paid,4.2,3,1
6,3.73,0.21,Paid,1.84,3,1
4,0.18,0.4,Referral,1.38,3,1
2,2.46,0.38,Organic,3.84,1,1
4,0.27,0.28,Referral,0.8,0,0.7
2,7.02,0.26,Paid,8.22,3,1
3,7.13,0.37,Referral,2.15,2,1
4,3.59,0.12,Organic,3.01,2,1
7,7.82,0.27,Paid,2.07,2,1
5,5.01,0.12,Organic,1.26,3,1
5,5.29,0.32,Social,0.19,0,1
7,2.53,0.16,Paid,1.55,2,1
9,1.1,0.37,Organic,8.5,2,1
7,0.74,0.27,Organic,7.59,3,1
6,1.19,0.42,Referral,0.7,2,0.9
6,2.97,0.09,Organic,8.21,3,1
9,0.57,0.62,Direct,4.08,0,1
2,0.9,0.31,Paid,1.2,2,1
3,1.89,0.14,Organic,5.41,3,1
9,0.8,0.21,Referral,3.18,3,1
3,2.66,0.58,Organic,2.31,1,1
8,7.7,0.56,Social,2.46,2,1
5,4.14,0.45,Organic,5.27,1,1
4,3.29,0.09,Direct,5.74,2,1
9,2.62,0.11,Referral,1.79,2,1
2,2.01,0.14,Social,4.64,1,1
5,0.62,0.33,Organic,4.32,0,1
10,6.75,0.21,Organic,0.07,1,1
5,0.86,0.2,Referral,5.99,3,1
4,0.29,0.38,Referral,1.82,2,1
7,4.16,0.31,Organic,3.19,3,1
3,0.58,0.05,Organic,4.19,0,0.9
6,1.4,0.09,Organic,5.89,3,1
3,0.09,0.39,Referral,7.71,2,1
3,0.44,0.56,Organic,5.62,2,1
4,0.57,0.38,Organic,4.81,0,0.7
1,0.17,0.52,Organic,3.87,0,0.9
2,3.21,0.1,Paid,2.55,1,1
4,5.44,0.08,Organic,7.39,2,1
5,1.4,0.02,Direct,1.75,3,1
8,6.23,0.52,Organic,5.66,2,1
7,0.72,0.43,Direct,5.29,0,1
7,1.18,0.27,Paid,3.75,2,1
2,0.49,0.33,Organic,7.45,1,1
6,2.91,0.57,Organic,4.15,3,1
8,1.63,0.14,Referral,3.91,1,1
6,2.85,0.03,Referral,4.69,4,1
4,4.3,0.14,Paid,6.4,3,1
4,2.37,0.06,Organic,0.33,2,1
4,2.96,0.73,Direct,11.08,1,1
1,8.21,0.39,Direct,5.91,0,1
6,1.07,0.58,Paid,4.24,6,1
8,1.33,0.31,Referral,0.48,5,1
7,3.79,0.35,Paid,8.43,1,1
7,2.83,0.24,Organic,2.58,2,1
6,0.59,0.53,Organic,1.27,3,1
6,1.42,0.29,Paid,5.84,3,1
4,1.89,0.1,Social,2.03,8,1
3,1.63,0.43,Organic,7.06,2,1
6,0.59,0.29,Paid,0.82,3,1
3,7.75,0.29,Social,3.37,2,1
10,4.31,0.4,Organic,4.24,1,1
5,1.97,0.65,Organic,3.68,2,1
6,3.42,0.69,Social,1.92,1,1
6,6.83,0.62,Organic,3.64,0,1
4,0.44,0.35,Organic,0.55,2,1
6,0.86,0.44,Organic,4.22,4,1
5,2.35,0.2,Organic,2.61,1,1
3,4.81,0.39,Social,5.14,1,1
2,0.11,0.27,Referral,4.33,1,1
3,12.41,0.09,Paid,0.93,6,1
2,1.82,0.41,Paid,2.89,1,1
8,1.34,0.13,Direct,1.29,1,1
7,1.04,0.23,Organic,3.7,1,1
4,0.57,0.23,Organic,2.62,3,0.9
3,4.7,0.52,Direct,5.57,3,1
3,9.33,0.24,Direct,3.86,5,1
6,1.6,0.47,Organic,2.63,2,1
5,9.14,0.12,Organic,3.75,1,1
1,5.21,0.17,Paid,2.19,2,1
8,1.97,0.53,Organic,4.59,5,1
9,3.36,0.17,Referral,3.86,5,1
4,1.71,0.15,Organic,0.33,3,0.9
7,2.45,0.45,Organic,13.88,2,1
3,0.18,0.33,Paid,3.31,6,1
7,3.57,0.17,Direct,2.38,3,1
5,0.16,0.35,Paid,3.19,1,0.9
6,5.1,0.29,Organic,5.19,3,1
8,5.23,0.34,Direct,2.96,1,1
2,0.81,0.16,Paid,2.78,3,0.9
4,1.17,0.12,Organic,1.25,1,1
9,1.97,0.22,Organic,2.16,4,1
4,2.72,0.07,Organic,3.98,1,1
4,1.02,0.05,Paid,3.59,0,1
3,2.69,0.11,Paid,2.19,3,1
4,1.06,0.18,Organic,4.28,1,1
4,0.17,0.11,Organic,2.17,0,0.6
6,0.01,0.13,Organic,4.28,3,1
7,0.32,0.41,Paid,1.11,1,0.8
3,4.71,0.06,Organic,2.9,1,1
6,9.77,0.26,Organic,2.37,2,1
8,1.67,0.04,Direct,7.62,2,1
7,2.16,0.25,Paid,2.38,3,1
3,0.48,0.09,Organic,6.5,1,1
4,2.4,0.31,Referral,4.02,1,1
6,0.47,0.17,Organic,1.43,3,1
8,2.83,0.23,Referral,6.5,3,1
3,8.12,0.62,Referral,5.82,1,1
4,0.65,0.18,Referral,4.62,2,1
3,4.34,0.58,Referral,4.58,2,1
8,0.07,0.26,Organic,3.69,0,1
1,1.41,0.27,Referral,5,1,1
3,0.35,0.08,Organic,6.31,2,1
7,1.3,0.2,Organic,1.03,2,1
5,0.57,0.43,Direct,7.04,1,1
9,1.4,0.24,Paid,7.81,3,1
5,1.62,0.14,Direct,1.32,4,1
4,1.07,0.09,Organic,2.43,0,0.8
5,3.21,0.45,Paid,4.34,3,1
7,7.53,0.43,Organic,6.03,2,1
3,1.54,0.61,Referral,3.52,2,1
6,0.64,0.12,Organic,4.61,4,1
7,0.95,0.45,Organic,1.83,0,0.9
4,5.77,0.08,Organic,4.12,3,1
4,2.54,0.2,Referral,8.36,1,1
4,1.82,0.3,Organic,3.87,1,1
3,0.49,0.43,Social,5.51,2,1
4,1.79,0.09,Organic,2.02,2,1
2,0.98,0.61,Organic,1.73,1,1
7,8.6,0.27,Organic,10.56,0,1
6,6.46,0.12,Direct,4.37,3,1
7,0.26,0.34,Organic,5.86,5,1
5,2.18,0.52,Organic,7.32,0,1
4,0.76,0.21,Social,1.05,1,1
5,1.59,0.26,Organic,9.17,0,1
4,6.28,0.11,Referral,3.92,1,1
7,2.25,0.27,Organic,10.22,3,1
5,1.22,0.22,Paid,1.43,0,1
6,0.7,0.22,Organic,6.58,1,1
5,4.83,0.17,Paid,2.34,3,1
2,2.94,0.05,Social,3.11,1,0.9
4,1.89,0.18,Social,6.99,1,1
4,0.74,0.26,Paid,2.5,3,0.9
6,1.22,0.16,Direct,3.68,1,1
11,9.64,0.13,Organic,3.71,2,1
6,2.2,0.17,Organic,2.55,3,1
8,1.54,0.25,Referral,2.39,3,1
5,2.21,0.22,Referral,0.75,2,1
3,4.53,0.36,Organic,2.95,4,1
5,1.25,0.13,Referral,4.34,1,1
1,0.59,0.06,Organic,2.93,0,1
8,2.64,0.21,Referral,4.56,3,1
6,3.28,0.47,Social,15.49,2,1
4,3.74,0.21,Paid,6.81,4,1
7,6.41,0.5,Organic,3.64,1,1
1,1.39,0.61,Referral,5.91,1,1
7,0.24,0.07,Referral,5.94,2,1
3,9.54,0.31,Organic,0.47,1,1
9,1.71,0.71,Paid,8.89,3,1
4,2.93,0.45,Direct,3.66,2,1
2,3.29,0.46,Organic,4.38,4,1
4,2.37,0.17,Organic,0.41,1,1
6,0.69,0.18,Organic,4.64,1,1
2,4.22,0.31,Paid,4.05,3,1
1,4.89,0.42,Direct,1.9,3,1
7,2.42,0.27,Referral,2.69,0,1
7,2.01,0.47,Organic,2.13,2,1
6,0.36,0.55,Referral,2.37,3,1
8,0.26,0.06,Referral,3.79,2,1
7,1.24,0.52,Paid,5.29,0,1
5,1.12,0.49,Organic,7.59,2,1
6,9.22,0.23,Referral,4.48,2,1
6,4.59,0.12,Paid,3.38,4,1
7,3.24,0.43,Organic,6.06,1,1
6,2.19,0.27,Paid,2.86,2,1
3,0.55,0.29,Direct,2.92,1,1
3,11.51,0.15,Organic,3.01,6,1
1,1.41,0.16,Direct,1.33,0,0.8
5,0.34,0.29,Organic,4.7,2,1
3,2.04,0.4,Referral,3.9,3,1
9,6.21,0.18,Organic,2.66,1,1
8,6.55,0.51,Organic,2.06,3,1
4,0.03,0.4,Paid,3.09,1,1
2,6.52,0.41,Paid,3.13,1,1
3,0.95,0.67,Social,6.77,2,1
2,0.12,0.14,Referral,2.4,1,0.7
4,5.65,0.41,Paid,1.91,3,1
4,5.98,0.58,Direct,9.6,2,1
5,2.72,0.2,Paid,3.07,2,1
8,2.56,0.23,Organic,3.56,0,1
6,5.03,0.44,Organic,7.63,2,1
3,4.63,0.39,Organic,4.89,4,1
5,6.62,0.1,Referral,3.7,2,1
6,2.41,0.32,Organic,8.49,2,1
3,10.29,0.05,Organic,2.58,2,1
8,16.68,0.46,Organic,4.65,3,1
8,0.37,0.18,Paid,2.53,4,1
5,5.68,0.42,Organic,7.65,4,1
4,2.08,0.13,Organic,3.9,1,0.9
2,1.47,0.27,Paid,0.16,2,0.9
6,2.85,0.1,Social,2.32,6,1
5,0.17,0.13,Organic,7.27,6,1
6,2.12,0.12,Paid,0.62,2,1
7,6.14,0.15,Organic,2.43,4,1
3,0.72,0.45,Direct,0.6,2,0.6
9,1.67,0.23,Organic,0.67,0,1
2,8.41,0.29,Direct,1.49,0,1
0,1.68,0.23,Direct,4.36,5,1
6,1.33,0.06,Social,1.3,1,0.9
4,1.74,0.38,Organic,11.53,2,1
6,2.2,0.53,Paid,4.85,0,1
4,3,0.18,Organic,3.65,1,1
5,4.84,0.06,Social,1.06,2,1
2,1.8,0.17,Social,0.74,0,0.5
5,5.1,0.3,Direct,2.92,4,1
4,2.29,0.09,Referral,10.48,1,1
3,1.24,0.47,Paid,1.31,2,0.8
5,3.22,0.16,Paid,0.96,1,1
3,3.79,0.07,Organic,6.73,2,1
3,2.45,0.07,Paid,6.59,2,1
4,0.17,0.3,Referral,4.14,3,1
8,0.56,0.23,Direct,2.19,1,1
5,1.01,0.2,Paid,4.98,2,1
4,1,0.4,Social,0.96,0,1
4,3.36,0.35,Social,3.69,1,1
4,0.06,0.32,Paid,0.59,0,0.7
4,4.23,0.25,Organic,3.51,4,1
7,0.93,0.45,Referral,6.88,2,1
8,1.11,0.14,Paid,10.69,1,1
7,2.25,0.18,Organic,2.28,5,1
3,0.73,0.61,Organic,4.33,1,1
6,6.47,0.18,Direct,2,3,1
6,0.27,0.61,Organic,5.05,2,1
4,1.76,0.07,Referral,6.36,1,1
6,5.68,0.22,Social,5,1,1
9,2.87,0.54,Referral,2.07,3,1
6,1.04,0.21,Paid,1.47,2,1
4,1.64,0.43,Referral,1.68,0,1
6,3.68,0.4,Paid,3.5,1,1
7,10.86,0.14,Organic,0.88,0,1
4,6.71,0.04,Direct,2.25,2,1
3,1.26,0.22,Paid,4.92,2,1
4,18.96,0.36,Referral,4.05,2,1
5,0.01,0.24,Paid,1.24,3,1
3,0.08,0.22,Organic,6.44,4,1
5,5.21,0.04,Direct,2.91,2,1
3,0.67,0.3,Social,7.6,2,1
5,0.19,0.31,Organic,2.02,3,1
5,0.81,0.72,Direct,2.11,3,1
5,1.67,0.44,Referral,6.3,1,1
6,3.93,0.23,Paid,0.97,0,1
6,2.94,0.09,Referral,4.99,2,1
6,0.81,0.23,Organic,0.58,3,1
5,2.1,0.34,Paid,1.83,1,1
7,7.82,0.25,Organic,2.33,2,1
3,5.06,0.39,Paid,4.81,5,1
5,1.17,0.4,Paid,0.23,5,0.9
7,12.1,0.36,Social,5.32,3,1
2,3.7,0.2,Referral,2.18,4,1
8,0.19,0.36,Organic,8.15,3,1
4,0.11,0.46,Social,1.91,4,1
2,0.55,0.27,Paid,1.89,4,1
5,3.9,0.05,Referral,0.83,7,1
5,0.61,0.08,Organic,3.59,1,1
4,2.15,0.41,Social,9.98,2,1
6,0.29,0.21,Direct,2.68,3,1
8,7.61,0.67,Social,3.68,0,1
4,1.26,0.08,Direct,0.62,3,0.7
3,7.16,0.27,Organic,5.25,2,1
6,8.69,0.04,Social,2.47,2,1
4,0.02,0.12,Paid,2.17,1,0.6
2,1.87,0.39,Organic,1.56,0,1
3,0.07,0.49,Referral,1.88,2,0.8
1,7.18,0.14,Referral,4.96,2,1
9,2.19,0.42,Organic,5.96,2,1
5,0.23,0.45,Organic,0.51,2,0.8
3,0.35,0.12,Organic,1.08,2,0.9
4,1.45,0.26,Organic,3.41,4,1
3,8.45,0.64,Organic,1.11,2,1
4,3.54,0.21,Organic,1.36,3,1
6,6.07,0.19,Organic,1.64,2,1
4,1.37,0.3,Direct,4.3,3,1
2,0.13,0.08,Social,7.67,1,1
6,10.99,0.13,Organic,2.77,5,1
3,0.05,0.43,Direct,3.51,2,1
6,8.85,0.47,Referral,4.93,1,1
2,1.38,0.53,Paid,1.66,5,1
8,0.03,0.24,Paid,4.6,3,1
3,3.51,0.23,Paid,10.7,2,1
6,11.82,0.36,Organic,1.39,2,1
4,10.11,0.31,Organic,4.38,2,1
5,0.53,0.43,Paid,3.53,2,1
6,0.6,0.3,Paid,1.33,3,1
1,2.5,0.3,Social,6.19,1,1
5,3.04,0.13,Organic,2,1,1
7,4.03,0.09,Referral,1.19,2,1
6,0.6,0.35,Paid,2.12,2,1
6,9.58,0.22,Direct,4.68,0,1
7,3.05,0.1,Organic,2.09,3,1
4,5.63,0.37,Direct,0.3,0,1
3,2.33,0.59,Social,10.39,0,1
8,1.6,0.16,Referral,6.63,2,1
4,11.34,0.25,Referral,3.83,3,1
5,2.62,0.17,Organic,2.31,0,1
5,6.05,0.21,Direct,2.47,1,1
3,9.19,0.24,Organic,1.42,3,1
9,3.38,0.18,Paid,3.51,1,1
8,2.39,0.34,Organic,13.1,3,1
6,0.01,0.06,Paid,3,1,1
3,0.12,0.33,Referral,5.5,1,1
5,0.67,0.18,Direct,1.79,2,1
5,0.62,0.14,Paid,3.79,3,1
5,0.88,0.18,Direct,2.01,0,0.9
3,1.09,0.55,Paid,3.37,1,1
7,1.34,0.33,Organic,7.95,3,1
3,1.64,0.42,Organic,4.17,1,1
0,0.31,0.12,Referral,7.74,5,1
6,0.13,0.14,Organic,7.93,1,1
6,3.36,0.45,Paid,2.59,1,1
4,2.31,0.35,Organic,9.22,5,1
5,1.76,0.18,Paid,4.38,2,1
9,3.02,0.05,Referral,4.15,1,1
5,5.28,0.3,Paid,1.98,2,1
4,1.67,0.25,Organic,6.83,1,1
3,3.07,0.21,Organic,4.62,1,1
6,9.21,0.21,Organic,1.88,3,1
2,5.49,0.52,Organic,4.96,3,1
6,1.67,0.33,Paid,1.18,3,1
6,3.1,0.18,Referral,1.13,1,1
6,0.58,0.21,Organic,3.28,2,1
5,2.47,0.64,Paid,2.42,3,1
3,11.94,0.44,Paid,2.57,2,1
4,2.19,0.3,Organic,7.68,0,1
4,7.88,0.34,Paid,3.75,1,1
5,1.57,0.55,Organic,2.42,1,0.8
4,20.29,0.6,Paid,1.26,1,1
4,2.6,0.44,Social,4.36,3,1
5,0.13,0.24,Organic,5.08,1,1
5,2.65,0.26,Referral,5.33,0,1
5,0.96,0.65,Paid,2.72,3,1
7,0.1,0.41,Organic,0.67,2,1
3,5.16,0.09,Referral,7.88,3,1
2,0.97,0.46,Paid,1.2,2,0.8
4,4.78,0.25,Paid,2.75,2,1
4,1.02,0.4,Referral,5.41,2,1
6,0.65,0.11,Social,4.69,5,1
3,10.94,0.32,Direct,1.71,0,1
5,1.35,0.27,Referral,11.77,2,1
5,2.76,0.32,Social,2.7,2,1
5,2.82,0.17,Organic,3.85,2,1
5,2.47,0.24,Paid,4.03,2,1
3,7.38,0.25,Organic,4.75,0,1
10,3.37,0.32,Organic,4.84,3,1
5,1.55,0.4,Paid,2.25,1,1
4,5.95,0.28,Referral,0.1,0,1
4,0.6,0.51,Paid,4.25,3,1
7,2.36,0.41,Referral,1.01,1,1
3,9.02,0.22,Paid,3.47,1,1
6,2.95,0.25,Paid,5.01,4,1
2,5.09,0.15,Organic,3.81,1,1
4,3.18,0.22,Organic,2.4,4,1
4,5.49,0.22,Organic,2.87,2,1
4,8.67,0.45,Referral,10.88,2,1
8,0.96,0.14,Organic,3.32,1,1
5,0.56,0.28,Organic,1.01,2,1
8,1.98,0.23,Referral,1.42,0,1
5,3.63,0.32,Paid,6.44,1,1
7,0.77,0.32,Paid,0.85,7,1
8,0.01,0.25,Organic,1.96,4,1
3,1.26,0.19,Paid,4.6,2,1
4,10.41,0.64,Social,3.23,0,1
6,3.56,0.26,Social,3.25,4,1
4,1.54,0.66,Referral,7.51,2,1
4,0.64,0.34,Organic,0.44,2,0.7
6,1.32,0.2,Referral,4.71,1,1
2,0.56,0.22,Organic,9.48,3,1
4,0.34,0.11,Organic,2.63,3,1
2,7.12,0.37,Organic,2.49,1,1
8,18.16,0.05,Social,4.17,2,1
7,0.54,0.33,Referral,3.19,1,1
2,0.17,0.15,Referral,5.29,0,1
5,1.2,0.3,Referral,2.89,4,1
6,1.86,0.3,Organic,3.58,1,1
7,0.69,0.16,Paid,0.91,4,1
7,1.08,0.2,Referral,3.5,3,1
7,0.67,0.48,Referral,3.07,1,0.7
6,4.47,0.5,Social,9.33,3,1
5,3.74,0.28,Organic,5.78,1,1
5,3.02,0.39,Social,4.01,0,1
8,1.47,0.58,Paid,4.6,2,1
7,7.19,0.27,Referral,3.25,0,1
4,10.47,0.11,Paid,3.1,3,1
5,0.57,0.51,Direct,5.28,2,1
8,0.76,0.12,Organic,1.87,2,1
5,2.24,0.13,Referral,2.14,2,1
2,0.29,0.39,Paid,0.65,4,0.5
3,1.72,0.13,Organic,2.65,0,0.8
7,2.62,0.07,Organic,3.22,0,1
3,2.21,0.22,Social,4.28,2,1
8,1.21,0.11,Organic,1.03,3,1
1,2.35,0.42,Organic,3.44,3,1
5,9.57,0.34,Direct,5.22,1,1
3,0.69,0.56,Referral,1.48,1,0.9
5,3.19,0.35,Organic,7.75,0,1
5,0.13,0.27,Paid,2.17,2,1
2,0.21,0.66,Paid,13.23,2,1
7,2.41,0.25,Social,8.9,4,1
2,0.33,0.08,Referral,2.06,3,0.9
4,0.07,0.4,Social,6.46,0,1
5,0.56,0.24,Organic,6.72,2,1
4,2.5,0.29,Referral,2.56,2,1
4,3.65,0.15,Organic,4.18,1,1
5,0.68,0.18,Organic,2.24,5,1
4,3.31,0.24,Referral,1.34,0,1
4,0.6,0.1,Organic,7.97,0,1
5,2.85,0.2,Paid,2.98,3,1
7,1.59,0.27,Social,4.33,2,1
6,3.18,0.41,Organic,7.61,3,1
6,15.93,0.11,Organic,6.86,3,1
8,8.33,0.19,Referral,2.45,1,1
5,0.01,0.12,Direct,1.89,4,0.8
2,6.5,0.27,Referral,0.4,4,1
4,0.21,0.18,Paid,6.31,0,1
6,9.18,0.12,Organic,3.22,3,1
3,0.99,0.36,Organic,1.18,5,1
3,1.44,0.39,Referral,3.11,2,1
5,0.29,0.27,Organic,9.13,0,1
5,0.36,0.84,Social,9.32,1,1
6,3.89,0.32,Paid,0.96,1,0.9
2,8.67,0.12,Paid,1.85,3,1
6,2.83,0.38,Social,9.51,1,1
4,3.77,0.27,Social,2.31,0,1
3,4.31,0.29,Referral,2.37,2,1
4,0.91,0.49,Direct,0.64,2,0.8
2,0.14,0.16,Direct,2.93,0,1
6,0.01,0.07,Direct,6.65,2,1
8,1.3,0.17,Social,0.64,3,1
5,0.83,0.29,Referral,1.37,0,0.9
6,0.19,0.13,Referral,7.42,1,1
5,0.59,0.39,Organic,5.23,2,1
5,0.4,0.36,Organic,2.14,1,1
6,7.39,0.14,Organic,15.12,0,1
4,0.45,0.26,Organic,5.13,1,1
4,2.31,0.67,Paid,9.48,1,1
5,2.7,0.42,Organic,3.32,2,1
5,2.35,0.23,Direct,1.99,1,1
4,0.31,0.33,Social,2.71,5,1
4,1.15,0.18,Organic,0.88,3,1
7,0.16,0.2,Organic,6.14,1,1
